time,open,high,low,close,Volume
2015-02-09,289,297.4,287,292.3,2853000
2015-02-10,292,297.2,285.1,294.75,2990000
2015-02-11,295.95,305.65,293.6,303,4092000
2015-02-12,304.2,307.6,302,306.6,3022000
2015-02-13,306.5,312.5,303.6,309.25,4021000
2015-02-16,310.4,311.7,302.35,303.5,1854000
2015-02-18,303.4,306.6,300.75,302.8,1432000
2015-02-19,302.4,304.2,290.45,295.35,2762000
2015-02-20,294.75,300.8,293.25,296.1,2514000
2015-02-23,295.6,297.35,287.15,288.35,2939000
2015-02-24,289.7,289.7,268.6,270.4,7577000
2015-02-25,270,275.9,267.6,271.75,6359000
2015-02-26,274.15,274.65,263,272.45,5284000
2015-02-27,276.15,282.8,273.5,282.05,3656000
2015-02-28,283.1,284.8,270.1,279.35,3024000
2015-03-02,280.95,281.95,269.15,271.6,3301000
2015-03-03,286,298,283.2,294.85,11487000
2015-03-04,296.8,297.1,283.75,288.65,3967000
2015-03-05,290.8,294,285.8,292.65,2776000
2015-03-09,288.75,297.2,285.1,286.5,3234000
2015-03-10,287.2,298,286.95,295.6,3438000
2015-03-11,294.95,297.5,285.3,286.95,3394000
2015-03-12,289.65,292.9,284.2,291.5,2485000
2015-03-13,290.1,292.95,277.1,278.35,2520000
2015-03-16,274.35,277.6,269.8,274.4,3100000
2015-03-17,277.6,284.95,276,283.8,3060000
2015-03-18,284.1,284.95,277.3,279.25,2242000
2015-03-19,281.8,283.6,270.5,273.35,3001000
2015-03-20,270.7,273.2,264.55,269,2655000
2015-03-23,269.15,271.2,262.45,266,2619000
2015-03-24,264,266,252.3,260.35,4520000
2015-03-25,261.95,261.95,256.65,259.55,3273000
2015-03-26,258,269.5,258,266.8,4468000
2015-03-27,269.25,275,266.4,271.85,3842000
2015-03-30,273.65,273.65,262.7,268.5,3352000
2015-03-31,269.3,270.55,262.6,265.65,3170000
2015-04-01,264.6,264.65,254.45,257,6616000
2015-04-06,257.05,259.25,249.3,253.85,4537000
2015-04-07,251.85,259.8,251.85,257.25,3146000
2015-04-08,257.7,259.85,251.25,252.25,3405000
2015-04-09,253.9,255,250,252.3,2691000
2015-04-10,252.25,259.7,252.25,258.65,3681000
2015-04-13,259.25,262.4,255.2,256.4,3758000
2015-04-15,255.9,258.85,251.6,252.2,2740000
2015-04-16,252,253,242.75,245.15,4816000
2015-04-17,243.7,249.6,237.7,244.65,4683000
2015-04-20,245.85,248.9,231,233.9,4022000
2015-04-21,233.65,241.9,226.5,236,3781000
2015-04-22,236.25,240.4,231,237.7,3103000
2015-04-23,238,243,229.2,231.9,3805000
2015-04-24,231.55,234.15,226,230.35,3235000
2015-04-27,233.6,234.4,219,224.5,3599000
2015-04-28,225.95,229,221.3,227,3377000
2015-04-29,229,237.4,225,235.3,12741000
2015-04-30,232,240,232,236.2,5954000
2015-05-04,239.4,251,235.75,249.8,6522000
2015-05-05,249.1,250.55,239.4,241.45,3217000
2015-05-06,239.8,239.8,225.5,226.95,4110000
2015-05-07,225.55,226.3,209.5,216.45,6031000
2015-05-08,221.1,227.4,218.35,222.5,4502000
2015-05-11,224.3,229.2,223.15,228.35,2266000
2015-05-12,229.3,232,222.55,223.5,3160000
2015-05-13,225.75,228.25,218.1,221.2,3260000
2015-05-14,219.4,225.95,216.4,225.25,3069000
2015-05-15,225.35,227.75,220.35,222.15,1999000
2015-05-18,223.25,225.8,219.85,225.05,1946000
2015-05-19,223.7,226.65,221.55,222.5,2193000
2015-05-20,223.6,224.8,219.4,220.45,2261000
2015-05-21,221.45,232.95,218.1,230.4,7527000
2015-05-22,231,231.5,225.2,227.55,3097000
2015-05-25,227.55,233.5,226.15,230.15,3968000
2015-05-26,229.35,235.7,229.35,234.2,4163000
2015-05-27,231.95,238.7,231.75,235.5,4869000
2015-05-28,237.6,243,236.5,237.7,4261000
2015-05-29,238.05,241.3,235.5,239.5,1969000
2015-06-01,238,241.65,236.5,237.55,1417000
2015-06-02,237.2,239.8,218,222.55,4516000
2015-06-03,222.5,225.5,212.75,219.35,3123000
2015-06-04,221.05,225.9,215,224.35,3131000
2015-06-05,223.85,225.8,219.75,220.45,2047000
2015-06-08,222.2,222.35,216.2,217.8,2164000
2015-06-09,216.15,219.7,213.95,218.55,2165000
2015-06-10,217.5,225.55,217.5,223.9,2007000
2015-06-11,227,230.9,223.3,225.1,4116000
2015-06-12,229.45,229.45,218.75,223.4,2281000
2015-06-15,223.55,226.7,221.9,224.4,1401000
2015-06-16,225.9,228.7,221.65,227.75,1666000
2015-06-17,227.25,233,227.15,231.05,1917000
2015-06-18,232.1,235.95,229.95,231.1,2343000
2015-06-19,233.15,240.9,232.3,239.35,3406000
2015-06-22,241.55,246.55,241,244.05,3466000
2015-06-23,245.05,247.7,241.35,242.65,2812000
2015-06-24,241.15,243.5,234.65,237.75,4190000
2015-06-25,238.05,242.15,236.7,239.25,4028000
2015-06-26,238.35,247.7,236.2,246,3657000
2015-06-29,240.7,243.7,235.15,242.35,2504000
2015-06-30,242.8,245.6,240,243.9,2837000
2015-07-01,244.1,247.35,242.5,244.85,2436000
2015-07-02,252.55,260.3,248.3,257.75,7835000
2015-07-03,258.75,261.7,253.65,255.1,3129000
2015-07-06,250.7,264.25,250.6,263.55,4489000
2015-07-07,263.9,266.5,260.15,265.05,4166000
2015-07-08,261.7,269.9,260.05,261.8,4149000
2015-07-09,262.45,263.5,254.1,255.1,2019000
2015-07-10,255.5,257.1,251.4,255.8,1502000
2015-07-13,255.85,267.45,251.55,266.35,3416000
2015-07-14,267.65,267.65,263.7,264.9,2410000
2015-07-15,266,271.75,264.5,266.85,3212000
2015-07-16,269,269,264.5,266.65,1636000
2015-07-17,267.1,269.5,261.6,263.15,2318000
2015-07-20,264.55,268.8,259.5,264.35,2425000
2015-07-21,265.3,266.5,256.5,257.95,2129000
2015-07-22,261,265.45,253.7,264,1841000
2015-07-23,264.85,272.25,262.55,263.9,4844000
2015-07-24,264.65,267.5,249.8,251.8,10556000
2015-07-27,252.1,252.5,240,241.8,5757000
2015-07-28,242.4,243.3,229.35,233.4,5671000
2015-07-29,235.8,238.95,232.75,235.7,3746000
2015-07-30,237.65,239.3,234.25,235.9,3463000
2015-07-31,236,240.6,234.05,238.7,2476000
2015-08-03,235.95,236.9,229.35,230.3,2749000
2015-08-04,229.5,234,227,233.45,2898000
2015-08-05,234.55,236.8,232.1,233.7,2806000
2015-08-06,234.95,238.7,232.45,236.5,3004000
2015-08-07,236.85,240.1,235.5,238.15,2574000
2015-08-10,237.55,238.25,231.4,232.55,1680000
2015-08-11,234.25,234.25,221.2,222.65,3954000
2015-08-12,220.6,226.8,220.05,223.55,3808000
2015-08-13,225.7,229.9,224.2,226.1,2682000
2015-08-14,228.6,230.5,224.75,229.95,1893000
2015-08-17,230.75,234.2,227.55,229.65,1856000
2015-08-18,229.9,232.8,228.75,230.3,2432000
2015-08-19,231.5,234.45,228.5,229.65,1786000
2015-08-20,228.5,231.9,225.65,227.85,2400000
2015-08-21,227.1,227.65,219.2,226.65,2503000
2015-08-24,215.1,220.8,192.75,209.7,6837000
2015-08-25,210.65,226.9,208.75,221.25,4574000
2015-08-26,221.4,229.2,219.55,227.55,3535000
2015-08-27,223.4,227,219,223.2,4543000
2015-08-28,225.95,226.75,214.35,215.8,1585000
2015-08-31,215.3,218.9,212.3,217.25,1768000
2015-09-01,217.85,219.8,195.55,206.1,3781000
2015-09-02,210.25,216,207.8,213.95,2207000
2015-09-03,215.35,218.25,210.5,213.8,2169000
2015-09-04,214.95,219.65,207.15,217.95,2377000
2015-09-07,216.15,221.25,208.2,209.65,1567000
2015-09-08,209.15,213.8,205.9,212.3,2209000
2015-09-09,218.15,223,212.5,221.2,2951000
2015-09-10,217.95,225.2,215.1,223.4,1970000
2015-09-11,224.95,229,222.65,227,2196000
2015-09-14,227.1,228.9,224.4,225.55,1188000
2015-09-15,224.85,228,223.55,226.35,1334000
2015-09-16,227.45,238.7,226.6,230.1,4106000
2015-09-18,233.4,234.5,228.55,232,1968000
2015-09-21,228.55,235.75,228.55,232.05,2076000
2015-09-22,232.55,235,227.1,229.3,4563000
2015-09-23,225.75,232.35,224.95,230.15,2497000
2015-09-24,224.4,232.9,222.2,228.35,3933000
2015-09-28,229.55,232.65,223,224.25,969000
2015-09-29,222.75,226.3,217.25,223.15,1539000
2015-09-30,224,228,222.05,226.7,1057000
2015-10-01,226.85,232,224,226.45,910000
2015-10-05,227.9,227.9,223,226.2,1107000
2015-10-06,229,232.75,226.55,228.3,2181000
2015-10-07,228.9,244.3,227.75,240.7,6319000
2015-10-08,242.8,245.5,236.1,237.4,3942000
2015-10-09,238.75,240.5,233.45,237.05,2223000
2015-10-12,238,241.7,236.8,237.8,1857000
2015-10-13,238.8,243.8,237.55,240.65,2476000
2015-10-14,240.3,242.75,238.5,240.1,1384000
2015-10-15,242.35,243.35,239.95,241.6,1879000
2015-10-16,242.85,248,240.15,247.1,3368000
2015-10-19,248,250.85,244.25,245.85,2478000
2015-10-20,246.75,248.5,241.5,242.45,2000000
2015-10-21,243.6,250.45,240.55,248.85,3647000
2015-10-23,251.9,252.75,246,247,2257000
2015-10-26,248.65,248.95,241.55,243.6,4714000
2015-10-27,241.65,276.9,240.05,274.9,24619000
2015-10-28,273.4,276.2,266.1,272.85,13874000
2015-10-29,269.1,269.85,261.1,263.3,4562000
2015-10-30,262.35,268.1,261.6,265.25,4476000
2015-11-02,266.55,276.4,262.4,274.6,7524000
2015-11-03,277.9,290.5,276.9,285.7,16568000
2015-11-04,286.25,286.7,281.7,283.45,4448000
2015-11-05,282.75,285.6,279,280.85,3660000
2015-11-06,281.5,286.5,279.1,282.15,4558000
2015-11-09,276.95,293.7,275.2,288.65,7408000
2015-11-10,286,297,285.55,294.85,7092000
2015-11-11,296.4,296.45,293.7,294.95,884000
2015-11-13,293,300.75,292.6,296.1,6526000
2015-11-16,294.85,297.95,292.25,295.9,3984000
2015-11-17,297.45,299.5,292.3,294.45,4868000
2015-11-18,295.4,296.75,284.55,286.1,4922000
2015-11-19,288.05,295.65,287.35,294.8,7306000
2015-11-20,295.95,298.9,293.2,294.3,6024000
2015-11-23,294.65,298,292.35,295.05,5976000
2015-11-24,293.35,297,289.65,290.8,6222000
2015-11-26,292.4,302.75,291.65,299.9,9066000
2015-11-27,300.25,308.95,299.4,307.55,10104000
2015-11-30,308.45,310.75,307.6,308.95,4614000
2015-12-01,310.15,310.95,304.1,306.3,3628000
2015-12-02,301.2,301.2,286.5,290.8,11046000
2015-12-03,287.95,289.4,281.25,284.95,7812000
2015-12-04,282.75,287.45,282.3,285.35,2858000
2015-12-07,287.95,288.85,281.65,283.15,2736000
2015-12-08,281.95,284.95,273.8,276.15,2954000
2015-12-09,275.95,277.4,268.6,271.75,3592000
2015-12-10,274.45,280.2,269.6,279.75,4654000
2015-12-11,280.9,282.4,273.25,275.4,3256000
2015-12-14,272.55,279.85,272.45,275.95,2610000
2015-12-15,277.45,286.4,275.35,285.65,5482000
2015-12-16,285.85,287.1,281.1,282.55,3012000
2015-12-17,284.15,289.5,281.4,288.1,3798000
2015-12-18,286.35,288.3,285,286.75,2082000
2015-12-21,288.65,292.25,288.25,290.25,3206000
2015-12-22,290.3,292.4,288.05,288.7,1868000
2015-12-23,290.95,293.9,289,291.15,3002000
2015-12-24,292.55,292.55,285.5,286.1,3924000
2015-12-28,286,288,283.5,286.85,3290000
2015-12-29,286.8,296.4,286.2,293.6,7224000
2015-12-30,294.55,294.6,289.45,290.25,4168000
2015-12-31,292.75,294.15,290.35,291.35,3980000
2016-01-01,289.15,293.8,287,287.9,2364000
2016-01-04,286.9,291.3,284,287.5,3944000
2016-01-05,288.7,289.9,282.4,288.1,2718000
2016-01-06,287.55,294.8,286,286.85,5124000
2016-01-07,282.35,284.75,275.25,277.8,3206000
2016-01-08,280.1,286.75,278.65,284.6,2308000
2016-01-11,279.75,289.5,278.25,286.8,2508000
2016-01-12,286.2,292.25,285.2,290.25,3892000
2016-01-13,293.4,293.8,273.05,287.05,5252000
2016-01-14,282.35,284,276.05,281.2,2846000
2016-01-15,282.7,285.2,273.35,277.8,3096000
2016-01-18,278.45,280.15,263.55,273.45,4214000
2016-01-19,274.95,284.25,268.25,283.05,4078000
2016-01-20,277.95,278.15,265.15,274.1,4080000
2016-01-21,278.35,280.3,267.7,273.65,3152000
2016-01-22,277.95,287.15,274.1,285.75,3726000
2016-01-25,287.9,293.35,287.15,288.55,4800000
2016-01-27,290.7,292.85,287.4,290.4,3692000
2016-01-28,291.65,296.75,290.85,292.35,3870000
2016-01-29,292.45,294.85,278.55,290.2,12786000
2016-02-01,291.8,302.3,288.8,295.85,5592000
2016-02-02,300.45,300.5,289.55,292.6,4788000
2016-02-03,289.25,294.35,284.55,287.95,3166000
2016-02-04,289.5,290.75,277,282.05,4150000
2016-02-05,282.25,292.35,279.6,290.7,2260000
2016-02-08,291.05,296.1,285.35,287.55,3316000
2016-02-09,282.1,288,279.5,286.15,2910000
2016-02-10,284.35,288.95,280.15,287.05,2554000
2016-02-11,285,288,273.3,277.15,3982000
2016-02-12,277.1,280.9,267.2,276.15,3562000
2016-02-15,280.9,289,279.45,285.3,2910000
2016-02-16,287.9,287.95,275,276.55,2486000
2016-02-17,276.65,284.85,271.35,283.1,2324000
2016-02-18,285,289.65,282.2,285.85,2540000
2016-02-19,285.75,290.4,283.2,288.8,3408000
2016-02-22,290.3,292.35,286.2,288,2240000
2016-02-23,288,288.15,278.4,280.45,2304000
2016-02-24,279.05,279.1,269.15,271,3010000
2016-02-25,271.1,271.1,264,269.25,3242000
2016-02-26,271.55,272.6,262,266.45,2190000
2016-02-29,265.5,271.8,257.7,269.25,3284000
2016-03-01,274.2,287,268.5,285.05,3810000
2016-03-02,289,292.5,285.85,287.2,3708000
2016-03-03,288.25,289.2,285,287.5,2640000
2016-03-04,287.4,295,284.1,288.65,3654000
2016-03-08,288.5,288.6,280.55,283.55,1884000
2016-03-09,280.35,286,280.35,285.45,2194000
2016-03-10,287.75,288,283,284.55,1756000
2016-03-11,284.3,290.3,284,288.65,3290000
2016-03-14,290.15,292.7,286.85,288.6,3426000
2016-03-15,290.85,290.85,284.25,285.65,1580000
2016-03-16,286.3,287.5,282.8,283.95,1344000
2016-03-17,285.9,287.6,283.5,284.5,1682000
2016-03-18,285.7,289.45,283.2,287.95,1606000
2016-03-21,288.25,307.8,287.35,306.25,7786000
2016-03-22,306.5,319.15,306.35,317.8,9908000
2016-03-23,317.35,318.2,308.6,310.5,4396000
2016-03-28,310.95,321.4,310.95,315.45,7632000
2016-03-29,318,319.5,313.2,316.05,5028000
2016-03-30,318.5,325.8,317.7,321.85,5780000
2016-03-31,324.1,327.5,320.6,324.75,3214000
2016-04-01,323.05,330.35,321.75,326.4,5398000
2016-04-04,328.05,328.85,323.2,325.2,3202000
2016-04-05,325.45,325.45,313.45,314.7,4230000
2016-04-06,316,319.15,314.7,317.25,2666000
2016-04-07,316.95,319.55,311,314.8,3264000
2016-04-08,315,318,313.1,314.85,2036000
2016-04-11,314,319,311,316.7,2952000
2016-04-12,319.15,323.65,318.75,320.4,3460000
2016-04-13,322.95,331.2,322,328.25,6292000
2016-04-18,328.55,334.7,324.5,334.2,6432000
2016-04-20,335.5,340.75,331.6,334.55,5676000
2016-04-21,333.15,334.5,321,323.85,6204000
2016-04-22,322.9,332.15,321,330.1,7258000
2016-04-25,327.95,328.25,320.4,322.95,4054000
2016-04-26,322.7,330.75,318.25,329.05,4942000
2016-04-27,328.1,329.65,325.3,328.95,5156000
2016-04-28,326.15,327.8,320,320.65,4080000
2016-04-29,321.45,323.5,315.85,321.2,3346000
2016-05-02,317.15,324.9,316.4,320.3,3956000
2016-05-03,324.7,326.5,280.65,289.4,37820000
2016-05-04,278.9,294.45,278.65,289.55,20458000
2016-05-05,289.95,298.3,285.3,295.1,7280000
2016-05-06,295.45,302.4,294,301.05,6080000
2016-05-09,303,303.9,299.65,302.15,3548000
2016-05-10,302.95,303,294,298.3,3344000
2016-05-11,295.3,302,292.25,297.1,4070000
2016-05-12,297.6,298.65,294.25,295.7,2372000
2016-05-13,295.55,297.2,292.3,295.65,2720000
2016-05-16,296.05,298.25,290.1,296.15,3284000
2016-05-17,296.6,297.5,293.6,294.4,2516000
2016-05-18,293.6,297.8,292.05,296.55,2786000
2016-05-19,295.05,300.4,294,295.95,4058000
2016-05-20,295.95,300.3,295.3,296.3,3114000
2016-05-23,298.65,298.65,292.1,296.05,4066000
2016-05-24,295.6,297.9,291.3,294.7,4092000
2016-05-25,296.4,298.5,291.75,296.5,5044000
2016-05-26,295.6,303,294.2,299.05,7066000
2016-05-27,299.1,299.95,289.5,292.25,4162000
2016-05-30,293.45,294.3,284.5,288.95,3990000
2016-05-31,289.8,290.9,284.5,286,2746000
2016-06-01,288.4,292.55,285.8,287.8,3840000
2016-06-02,294.1,299,291.1,297.7,7188000
2016-06-03,298.5,308.5,296.75,298.95,7290000
2016-06-06,300.8,301.05,294.5,296.65,1770000
2016-06-07,297.35,298.1,294,295.75,2236000
2016-06-08,296.5,296.5,289.95,291.45,3214000
2016-06-09,291.6,293.75,289.05,291.5,3036000
2016-06-10,290.05,293.75,287.5,288.3,2978000
2016-06-13,286.2,290.45,285.65,288.95,2494000
2016-06-14,289.4,292.6,288.3,291.4,2172000
2016-06-15,291.9,293.3,290.95,292.5,1884000
2016-06-16,291.1,294.4,290.5,292.25,2384000
2016-06-17,293.95,293.95,288.55,292.8,1974000
2016-06-20,289.05,294.15,289.05,293.6,1682000
2016-06-21,294,297.25,292,295.55,2020000
2016-06-22,296.25,299.3,291.2,293.75,3478000
2016-06-23,294,295.45,291.15,294.95,1636000
2016-06-24,289.8,298.55,279.25,296.2,3488000
2016-06-27,295.1,300.9,295.1,296.85,3254000
2016-06-28,299.3,300.85,296.2,297.4,4886000
